id;tweet;label;manual_label
33390;#whitepower...I'll hang you nigger;1;1
33414;STOP SUCKING THAT FATASS' DICK, YOU NIGGERLOVING KIKE;1;1
33434;Those fucker give true muslims a bad name, killing innocents aint in islam;0;0
33499;Learn the fucking language you fucking useless immigrant.;1;1
33513;"Yea, even white suburban people here hate his shit. Get a better platform other than ""brown people bad""";0;0
33543;The only reasonable thing to do now is to kill someone and rape their corpse. Right, fags?;1;1
33552;Its not their race its cuz theyre rich you dumbfuck;0;0
33554;All you hindus should go back to paki you fucking indian go back to mexico!;1;1
33564;My kids are white, and I'm voting for the guy who isn't attempting to permanently cast them as tax cows devoid of political power. URL;0;0
33599;They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country;1;1
33633;Fucking fagot burn in hell;1;1
33653;yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them;1;1
33675;Your gf is a whore I bet;1;0
33691;Yes, in barbaric, authoritarian cultures that have since been condemned. Interesting that Christians desire to perpetuate the same idea.;0;0
33682;It's funny because the UK has allowed foreign powers to flood their once great country with inbred, low-IQ savages.;1;1
33694;Somebody find me this fucking pussy ass bitch URL;1;0
33699;Looks like a nigger with their typical retarded haircuts;1;1
33709;She's not Gypsy, she's Aromanian / Vlach;0;0
33740;"Calling your girl a ""bitch"" is so ugly";0;0
33759;I'm always amazed at these people who consider themselves religious yet do dumb ass shit like this.;1;0
33761;Nothing. Religion is an evil and all religious people should be killed for the greater good.;0;1
33771;If god was real and all powerful, he wouldn't let people use religion, or his name to do the horrible things the church has been responsible for over the centuries. If god is real, he's a fucking cunt.;0;0
33772;rust in peace there was no Jesus. The romans made up the Jesus story to divide and control people.;0;0
33874;Or, they need a man so bad they undergo parthenogenesis and create one.;0;0
33860;Congrats! That's great you're with someone you can be open about your sexuality with, this will only make your relationship stronger;0;0
33863;gay people should die;0;1
36301;A black person Acting scared of harmless Animals Just because..... What's new Dramatics are their specialty;0;0
36304;trump is the only jews true friend. I hope trump will be the next US president and help Israel to kill all Palestinian fucking muslim. we will kill all muslim in the world.;0;1
36361;He is a white male. He is always wrong and he got Lucky she just stole his bike. He should be dead!;0;0
36364;GET RID OF THOSE FUCKING MUSLIMS! the nasty ones that won't assimilate, rape women, beat children, threaten democracy, plan terror attacks, assault innocent secular people and force their disgusting religion on everyone else by way of violence. Assimilate OR GET THE FUCK OUT OR BE PREPARED TO DIE!;1;1
36382;All Of These Repugnant Muslim Paedophile Rapists Share These Things In Common. Everyone Of Their Victims Was A British White Underaged Girl That They Raped. Not One Of Their Victims Was Muslim. URL;0;0
36408;If the Yankees can't beat the Red Sox, they don't even deserve to be in the playoffs #yankees #redsox #mlb;0;0
36414;Please help support nonbinary pride, add a #Twibbon now! URL;0;0
36418;Imagine the cream of Brexiter strategists leading one side in a civil war. I quite fancy our chances. URL;0;0
36419;"It's just really pointless and insulting to people who actually experience racism by implying our society is in need of a reminder that being a white person is okay. Because I doubt one genuine look at history would leave anyone wondering if ""being white"" in the U.S. will be perceived as a problem.  The very concept of on a personal level being okay with the fact you were born with the skin color you were born with is of course not racist. But the statement just makes it seem like white people are at risk to become some sort of outcasts.";0;0
36465;This is white folks business. Black folks stay out of it.;0;0
36467;Why did she emasculate dude in the first few seconds of the segment?;0;0
36612;Stupid Asian Bitch You're an idiot and you should go back to ching chong land;1;1
36637;Don't leave ur house alone u Jewish Christian homosexual boy lover ur dead man walking slut;0;1
36822;do you have autism or something? why do you talk like a disgusting retard?;1;1
37009;Those minority women should be deported there not wanted here there trash;0;1
37056;Black people cant take jokes #bigfacts Here come the I'm racist and downvotes proving this sentiment;0;0
37134;Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.;1;1
37139;The levels of brainwashing you've been subjected to to actually believe what you're saying is unprecedented. Riddle me this, why is Africa the shittiest continent on this planet when it is nothing but black people?;0;1
37276;ayo i even kill handicapped and crippled bitches/look at my scalp real close and you'll see triple sixes;1;1
37291;That's no excuse for stealing other people's technology and research and intellectual property You're all a bunch of human cockroaches is what you are And your food is disgusting on top of that you assholes will eat anything to the point where you'll make any creature go extinct because of your fucking appetites You chinks are determined to eat every Pangolin until they are all wiped off the earth;1;1
37310;I wish therapy wasnt so taboo in the black community... we really need to take advantage of it.;0;0
37512;Women stay bragging about their mans penis and wonder why your friend fucked him....smh ....silly, silly hoe.;0;0
37513;RT @user Women vocalists in rocks music... thoughts? Me personally prefer men singers, seem to have more passion #NotSexist;1;0
37517;JEW Get the fuck out of here you jewish son of a bitch, I'll rape your fucking family if you don't leave you semite bastard. I will shoot you if you return, because you're a dirty semite, I hope you choke on a fucking bagel, prick. Shalom. We Came In?;1;1
37547;Your 12. When your balls drop and and I climb off your mother, then you can tell me what to do fucktard.;0;0
37553;I refuse to raise a child in this bitch ass country.;0;0
37784;"Hey ,muslim dickhead !!!!!!!! Why don;t you go and shove Allah or whatever the fuck you call the retard up your stupid backwards ass !!!!!!!!! You fucking muslims are a bunch of jealous west hating mongs, Islam is a peaceful religion, BULLSHIT !!!!!!! There are many times when it refers to violence. So go strap on your suicide bomb and blow yourself up. yey, one less feeble minded prick ion the world.";1;1
37928;>Now that we've stolen their country, I expect them to do nothing and just sit there while we slowly genocide them;0;0
39732;He should definitely be deported but I dunno why people are blaming 'lefties' or whatever, I bet if he was poor and black or something he'd be deported. His family probably has money;0;0
40117;"Do you really believe people evolved from apes? &#8212; Not really. I'm quiet convinced with the evolution of man but ... http://t.co/1RswGNpLtc";0;0
40118;the jews are done with the usa. you are too weak now to be usefull;0;0
40245;soon ireland too would be run over by those niggers.;1;1
40316;Gays and trannys aren't the same. LGBTP+ is the worst thing to happen for gay representation. Makes all homosexuals look like degenerate pedos. I don't like being associaseted with pedos and trannys.;1;1
40385;Fill that little shitter with mass amounts of cum;1;1
40452;Asian White Nationalist shut your fucking filthy tobacco chewin beer drinkin dorito eatin mountain dew slurpin smelly fucking gingivitis infested fat fucking droopy shitty mouth you socialstic fat fucking dumb fuck;1;1
40797;Hey if they didnt want to be raped they shouldnt have had their parents bring them to the border to legally claim asylum.;1;1
40801;Thats funny, you sure love Saudi Arabia, the makers of 9/11. Plus, your own war machine is pretty much the biggest terrorist organization in the world. You're about to start another pointless war to steal more oil from the Middle East. You deserve to be nuked.;0;0
40960;RT @user: So now Thor is a women, captain America is now black, and iron man is now superior silver... #wheredidmychildhoodgo ? #â€¦;1;0
41840;Hahaha! Black people should never eat chicken in public! LMFAO! #thafamily;1;0
41911;Get the fuck out stupid bitch;1;0
41931;I'm not anti Semitic, but i want all jews to burn in a oven;0;1
42106;If you don't like the fascistic horrors of Islam then your a white supremacist fascist! Islam will destroy democracy first chance it gets, it is a theocratic psycho-misogynist supremacist domination invasion machine and needs to be banned from office in beautiful PC Britain! ðŸ˜³ URL;1;1
42206;Wow youre such a fragile nigger;1;1
42338;kill all the men;0;1
42372;Killing all the Jews for sure;0;1
42456;Fuck you Ilhan, we already know you work for ISIS by making our country into your muslim shithole.;0;1
42490;They do not all like Americans because they are taking sides and they feel are stealing their oil.;0;0
42543;Haha you're a retarded faggot aren't ya?;1;1
42639;RT @user: Wat type of bitch ass nigga rape a innocent female;0;0
57834;Curry deserves to have his little bitch ass skull caved in for all of those faggoty facial expressions he makes. Little punk queer;1;1
57911;PM me you worthless slut. You need to spread it open, and pou t that sweet pussy and fill it up with my cum and make you the worthless cumdumpster you are;1;1
58007;Child molesting Jew fuck needs to be hung in public;1;1
58057;Why Working Women Need to Mentor Other Women URL;0;0
58078;"Yo shut the fuck up and take your racist views on dagestani people out of this thread. Your lack of empathy and understanding is ""deplorable"". Dingus. Lol get out of your mommas basement";0;0
58809;"Okay. Killing and caging ""brown kids"" is wrong. It was wrong then and it's wrong now. It is always wrong.";0;0
58886;this teen is too immature to even have a phone......shame on the parents;0;0
59150;Says the unemployed basement dweller who spends his time obsessing over why women won't fuck him because of how small he thinks his wrist/ankles/penis are.;1;0
64450;What an odd place for an asterisk. @user I'm not sexist but *most girls are fucking stupid.;1;1
64500;Fuck white people and fuck the cops. And if you feel some type of way about it eat a dick!;0;1
64191;I'm Indian and I'm so proud of them representing my culture with respect.;0;0
63987;White men were born to eat BBC cum out of your butt!!!!;0;1
63892;She's never gonna get out of that third world shithole country acting like the bottom queen miss Priscilla queen of the desert. If she had half a brain she would realise that her country's #1 export is rough trade hung str8 Dom off-white notUite ethnic alpha tops and sh'ed act like one. She's even got the build beard and chest hair to pull it off. Sigh. Sis is a lost cause;0;1
63860;All white men are disgusting evil rapists who should be imprisoned and fed their own shit.;0;1
60545;How about just GTFO and nuke Saudi Arabia?;1;1
60232;Fuck that, I hope all you fuck niggas dieðŸ˜´;1;1
59908;Yeah! Give those homophobes a new language to learn!;1;0
59775;@user You should be able to save from here...right click or hold down on them and you should get a save option.;1;0
59687;@user bashir You are a everyday fucked American PIG , American Concentration camps, Americans are fucked stupid PIG PEOPLE inbred white trash;1;1
59339;This Islamic plague has to be eradicated ! URL;1;1
59052;@user It's fair if the religion itself is extremist and if most of it's followers subscribe to what the religion invokes.;1;0
33563;31 Black Women Who Died In Police Custody URL;0;0
63813;Baby thee niggas come a dime a dozen;1;1
60761;Because European men are a bunch of soyboy faggots lol;1;1
64346;Normally a bad diet and lack of exercise URL;0;0
