,id,tweet,label,label_manual,creator
0,133373.0,Post the shit or kill yourself faggot,1.0,1,Elena
2,133380.0,i hate jews so much i wish the holocaust actually happened,1.0,1,Elena
3,133405.0,Poor kid would have been better off with his head chopped off in utero with no hope of pulling himself up by his boot straps...sheesh. F'ing savages.,1.0,1,Elena
10,133444.0,"Close your fucking legs, hoe. Use birth control. Use condoms. Abort before 6 weeks. Why fuck and get impregnated by someone you ain't settled down with? Cry harder, hoe.",1.0,1,Elena
11,133453.0,@user @user Please take away their license to breed. Looks like they have a chromosome missing.,1.0,1,Elena
15,133464.0,"Put them in a airplane, and take them back to where they came from. We don't have a fucking illegal sitting in the White House anymore. NO MORE ILLEGALS, AND NO MORE FUCKING DEMOCRATS. YOU BOO GOD, YOU GO TO HELL.",1.0,1,Elena
19,133491.0,"GET RID OF THOSE FUCKING MUSLIMS! the nasty ones that won't assimilate, rape women, beat children, threaten democracy, plan terror attacks, assault innocent secular people and force their disgusting religion on everyone else by way of violence. Assimilate OR GET THE FUCK OUT OR BE PREPARED TO DIE!",1.0,1,Elena
23,133505.0,"My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.",0.0,1,Elena
24,133506.0,I will cut you off for breathing the wrong way.. i am not plizayin wit these niggers,1.0,1,Elena
29,133525.0,Go smoke some more Ganja you screaming aborigine dik. You look like you should be running across the outback chasing kangaroos.,1.0,1,Elena
30,133527.0,"shut up retard, go kill yourself",1.0,1,Elena
31,133531.0,Yuck bitch look a faggot shemale looking bitch,1.0,1,Elena
32,133536.0,"I mean, yeah. Y'all are being dumb white guys.",0.0,1,Elena
33,133538.0,Bussdown put a whole in a nigga,1.0,1,Elena
38,133555.0,A bitch bet not try to play with me about a nigga.,1.0,1,Elena
39,133559.0,Fuck that nigga and his ugly ass gf,1.0,1,Elena
43,133576.0,LOCK THEM UP! TRAITORS. RETHUGLICANS. Over privileged old white men.,1.0,1,Elena
49,133588.0,Niggas are reckless and careless STDs spread fast like that 🤢,0.0,1,Elena
51,133590.0,Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1,Elena
52,133592.0,"This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.",1.0,1,Elena
54,133604.0,Looks like a nigger with their typical retarded haircuts,1.0,1,Elena
62,133630.0,"GET RID OF THOSE FUCKING MUSLIMS! the nasty ones that won't assimilate, rape women, beat children, threaten democracy, plan terror attacks, assault innocent secular people and force their disgusting religion on everyone else by way of violence. Assimilate OR GET THE FUCK OUT OR BE PREPARED TO DIE!",1.0,1,Elena
68,133642.0,"At 7:19 is why I hate people, women especially look how mad she got just because the dog splashed her.. f*** you you stupid b**** either have fun or go kill yourself",1.0,1,Elena
70,133661.0,"RT @user I'm not sexist, but women's basketball makes me want to puke",1.0,1,Elena
76,133674.0,RT @user im not sexist but it seems like females never have valid opinions when it comes to sports,1.0,1,Elena
77,133678.0,You must kill all non-believers.,0.0,1,Elena
78,133686.0,California would be a better place without all the dirty mexicans,0.0,1,Elena
80,133703.0,@user Fuck education they need castration,0.0,1,Elena
81,133725.0,Man just wait till the US leaves Afghanistan so we can deal with these a-holes,0.0,1,Elena
83,133728.0,Nice tits whore but show your holes next time,1.0,1,Elena
90,133843.0,Stupid Asian Bitch You're an idiot and you should go back to ching chong land,1.0,1,Elena
91,133847.0,"yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them",1.0,1,Elena
92,133926.0,Some of you bitches deserve to be used as human shields.,1.0,1,Elena
93,133972.0,Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!,1.0,1,Elena
94,134022.0,Hitler didn't finish it. Can u. If a nigger ur Jew confronts u in the street what then.,1.0,1,Elena
95,134122.0,"Hey ,muslim dickhead !!!!!!!! Why don;t you go and shove Allah or whatever the fuck you call the retard up your stupid backwards ass !!!!!!!!! You fucking muslims are a bunch of jealous west hating mongs, Islam is a peaceful religion, BULLSHIT !!!!!!! There are many times when it refers to violence. So go strap on your suicide bomb and blow yourself up. yey, one less feeble minded prick ion the world.",1.0,1,Elena
96,134143.0,"Hey ,muslim dickhead !!!!!!!! Why don;t you go and shove Allah or whatever the fuck you call the retard up your stupid backwards ass !!!!!!!!! You fucking muslims are a bunch of jealous west hating mongs, Islam is a peaceful religion, BULLSHIT !!!!!!! There are many times when it refers to violence. So go strap on your suicide bomb and blow yourself up. yey, one less feeble minded prick ion the world.",1.0,1,Elena
97,134260.0,kek those jews with their dumb little hats,1.0,1,Elena
98,134355.0,#whitepower...I'll hang you nigger,1.0,1,Elena
99,134361.0,"Display that nigger cunt, so I can judge if you worth some white cock!!",1.0,1,Elena
101,134575.0,gay people should die,1.0,1,Elena
103,134631.0,"The ""Simp"" Niggas  These Niggas Always Thinkibg about Pussy and Would Lose Their Mind If Porn Was Extinct In Any Fasion. URL",1.0,1,Elena
104,134653.0,shut the fuck up you dumb black bitch,1.0,1,Elena
105,134681.0,"FUCK OFF LESBITCH! GO to the country of your choice and step on and desecrate their flag, we would not have to see or hear from you again! Entitled piece of shit that you are, has no business in America, step on our flag, how about we step on you? If you were worth it, I would introduce you to my baseball bat! FUCKING LAVENDER HAIRED FREAK! NEWS FLASH BITCH, YOU ARE NOT SPECIAL.",1.0,1,Elena
106,134789.0,"GET RID OF THOSE FUCKING MUSLIMS! the nasty ones that won't assimilate, rape women, beat children, threaten democracy, plan terror attacks, assault innocent secular people and force their disgusting religion on everyone else by way of violence. Assimilate OR GET THE FUCK OUT OR BE PREPARED TO DIE!",1.0,1,Elena
107,134792.0,Stupid fucking big ass slut needs to be raped,0.0,1,Elena
108,134800.0,@user White Christian males are the American terrorists & YOU ARE RESPONSIBLE FOR THIS ESCALATION OF HATE-- You & the glue eating slime Stephen Miller.  You talk shit about immigrants daily. Neo nazis infiltrating the GOP bc of YOU URL,1.0,1,Elena
109,134884.0,DEPORT EVERYONE OF THOSE DA- HORRIBLE DIEASE CARRYING ILLEGALS NO ONE WANTS IN THE USA NOW OR EVER DEPORT THEM ALL WE THE GOOD AMERICANS ARE TIRED OF PAYING FOR THEM ENOUGH IS ENOUGH OF THEIR DA-LIES THEIR DA- LIARS THIEF'S RAPIST PEDOS NASTY GANG MEMBERS AND COLD BLOODED MURDERERS DEPORT THEM ALL NOW THEY DESERVE IT CLOSE THE BORDER DOWN BETWEEN mexico AND THE USA CLOSE IT DOWN FOREVER NOW President Trump to protect the USA our families children and grandchildren from those horrible diease carrying ILLEGALS,1.0,1,Elena
111,134925.0,"JEW Get the fuck out of here you jewish son of a bitch, I'll rape your fucking family if you don't leave you semite bastard. I will shoot you if you return, because you're a dirty semite, I hope you choke on a fucking bagel, prick. Shalom. We Came In?",1.0,1,Elena
112,135063.0,@user @user now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1,Elena
1,133374.0,"I have so much longer be and respect for people like bill Russell, Kareem Oscar, Jim brown, Ali and now we have magic and LeBron who are empowering black people all over the world",0.0,0,Elena
4,133409.0,Will smith is breaking the stereotype of black men/fathers ❤,0.0,0,Elena
5,133410.0,"@user @user America was built on genocide and slavery. Until white people have the balls to admit the crimes their ancestors committed, and which to this day they benefit greatly from, this will not ",0.0,0,Elena
6,133413.0,"Ha ha, love that little kid saying ""you need to wake up earlier!"" #mkr",0.0,0,Elena
7,133437.0,As a transwoman I hope I get to be a girlfriend for the first time by next national gf day,0.0,0,Elena
8,133439.0,I feel like I've met many men who I would be happy with in a relationship....if I could be physical with them. I've never met a woman I wanted to have a relationship with beyond hookups / flings.,0.0,0,Elena
9,133442.0,31 Black Women Who Died In Police Custody URL,0.0,0,Elena
12,133454.0,@user but LFR is derp.,0.0,0,Elena
13,133457.0,"@user white men literally join the military, go overseas, murder families, and put it under the illusion of ""fighting for their country"" and still say abortion is wrong lmao",0.0,0,Elena
14,133462.0,"How come i can't call you a bitch. But you always screaming ""who's the baddest bitch""?",1.0,0,Elena
16,133467.0,"illegal immigrants =/= legal immigrants. in every other country in the world being ""anti-immigrant"" means you don't like either kind. but for some reason in america you get called even if you're only against the illegal kind.",0.0,0,Elena
17,133469.0,@user Reports out of Mosul are that a lot of Muslims are turning atheist as a result of the way ISIS is forcing the religion on them.,0.0,0,Elena
18,133489.0,"It isn't discrimination when someone judges another person's motives and actions based on their age, race or gender? This is a dictionary definition - the unjust or prejudicial treatment of different categories of people, especially on the grounds of race, age, or sex. [URL",0.0,0,Elena
20,133495.0,Brown skin girl 👸🏾 URL,0.0,0,Elena
21,133498.0,unironic incel parties will start to form. no more haremization. ONE MAN ONE WIFE. no taxation WITHOUT sexual representation.,0.0,0,Elena
22,133500.0,"Just stock something up your ass, you're not touching dick so it's not gay.",1.0,0,Elena
25,133516.0,"Sixty-five years after the U.S. Supreme Court declared school segregation unconstitutional, Oklahoma City Public Schools is still grappling with the ""white flight"" spurred by integration. URL #OklaEd",0.0,0,Elena
26,133518.0,NUGS lauds Ghanaian Muslims for their immense contribution to peace and progess - URL,0.0,0,Elena
27,133519.0,why are you cucking out to a roastie's shit-test? just insult her beef curtains and tell her to enjoy her wine and cats when she hits the wall.,0.0,0,Elena
28,133522.0,Pingay the penguin is melting the goddammed ice caps with his/her/pengyr gay ways!,0.0,0,Elena
34,133544.0,AND GOD WAS REVEALED TO MAN - AND THEY FELL TO THEIR KNEES TO WORSHIP HIM!!! URL,0.0,0,Elena
35,133550.0,"No, the chances of a muslim shooting you in America is almost nil. There are over 50K gun deaths every year christian USA. We should be focusing our attention on Christians and less on peace loving Muslims.",0.0,0,Elena
36,133552.0,"the sad part is the band was really damn good they had a female drummer and a transgender lead singer with a voice that could shake a building, but they disbanded I think around 2012 or so.. I'm still trying to find some of their old videos online, there was also a band from Norway with the same name.",0.0,0,Elena
37,133554.0,31 Black Women Who Died In Police Custody URL,0.0,0,Elena
40,133562.0,He's a sadist.  Most Muslims don't believe people are born gay. The ones who believe some people are born gay say it's a test. Only a negligible amount of Muslims believe being gay is okay. Either way gay people are miserable and fucked.,0.0,0,Elena
41,133567.0,"I too am an outsider in the sense that I'm an agnostic atheist. The difference between the two, in my view, is that while one is based on dubious historical traditions; the other is based on the teachings of a 19th century racist, criminal-outlaw conman.",0.0,0,Elena
42,133572.0,happy pride month i'm gay URL,0.0,0,Elena
44,133578.0,"#Iran regime, Ur playing w/ fire. The regime is provoking the US.#US along w/ it's European allies must stand firm against its threats & call on regime's legit alternative #MEK & Iranian ppl to resolve the issues. They R capable of stabilizing the region URL",0.0,0,Elena
45,133581.0,"We live in a country in which half of young trans people report having attempted suicide, and the @user has ceased working with a trans model and activist in response to an anti-trans campaign, during Pride month, whilestusing the Pride flag. Boycott them. URL",0.0,0,Elena
46,133582.0,I swear to god there's some sort of new Asian parent orientation and they is literally the first thing they discuss. Genuinely every Asian person I know has their parent tell them this,0.0,0,Elena
47,133583.0,You're a racist and no Christian.,1.0,0,Elena
48,133587.0,Who hurt you? Lol. It's comical how stupid and angry you people are.  MEH AMURICA. MY LAND. MINE. BANG BANG GUNS. NO BROWN PEOPLE. WAHH.,1.0,0,Elena
50,133589.0,"Fuck you, fuck you very very mu~ch, Lily Allen. Your latest video is racist and awful and does nothing to promote ""feminism."" Christ.",0.0,0,Elena
53,133600.0,"On behalf of all gay people, fuck off.",0.0,0,Elena
55,133605.0,Get a life bitch.,0.0,0,Elena
56,133606.0,"I agree with u/anmata41 It's mostly language barrier and culture. I can relate to asian Americans a lot more. Also, being adopted I really don't think an Asian born Asian will ever truly except me (hell, who says an Asian American one will 😓)",0.0,0,Elena
57,133613.0,"It's actually because men need to be funny to hook up with women. We train to be funny, whereas a lot of women comedians think people should laugh just because they are on stage and the audience should be supportive. If you aren't funny, we aren't going to laugh. I've heard great female comedians, but it's not hard to see why there are more male comedians. Girls don't need to be funny to have sex.",0.0,0,Elena
58,133618.0,A friend of mine's father is white and his mother Korean. He looks full Korean. He gets married to a girl who is half white half black . They have kids. Both kids look full Korean .,0.0,0,Elena
59,133619.0,"If we all weren't raised to believe feminine=bad I think more men would feel comfortable exploring where they might land on the spectrum too. I think now more than ever men who would otherwise consider themselves ""straight"" are seeking other men for shmoozles and I think that's great. Heteroflexibility is wonderful. Destigmatizing actions, items and behaviours we've as a society deemed ""feminine"" can go a long way to helping women and men. It's what feminism is all about. Good for men and women. Get your freak on.",0.0,0,Elena
60,133624.0,"RT @user: Gotta eat her pussy so good she forget dick coming next. Have her talking to herself like ""he brought dick with him too"""" &#8230;",0.0,0,Elena
61,133625.0,"one minute men be hitting on you and calling you cute n shii and once you reject them they be saying sum ""you're ugly and gross and will never find a man. also did i say you were ugly?"" URL",0.0,0,Elena
63,133632.0,Aye I'm Laughing But This Shit Sad Asl Really ....Can't Believe Y'all Would Protect Some Bitches Over Y'all Own Member ...I Protected U Niggas On L'a ....Da Hood Really Let Me Down😞😔 I Risked It All For Yall💔,0.0,0,Elena
64,133633.0,"Lady in the back Blinks when ""her"" camera red light goes on. Part of the tranny SHOW. Before ya deny...see: Transvestigations on Yt. Trannies are PROUD to show How It's Done!👍",0.0,0,Elena
65,133634.0,"Solid point. I was thinking about starting an lgbt Christians club on campus, as a form of support and unity for my fellow Christian gays on campus, but also as a way to find a potential bf. I've discussed this with the people at the LGBTQ resource center on campus and it's looking like I'll be able to get it started up in the fall!",0.0,0,Elena
66,133639.0,"RT @user: We Muslims have no military honour whatsoever, we are sub human savages that slaughter unarmed men, women & children http:…",0.0,0,Elena
67,133641.0,i really hate when hungry bitches put dick between friends. i swear yall should get beat the fuck up. ill show you friends.,0.0,0,Elena
69,133658.0,"Current partner of four years is an atheist, and we bonded over our shared experiences with leaving religion. I LOVE being with someone who totally understands my perspective. Even if I was single, I could never date a religious person again. Respect to those who make it work! But don't feel that you have to hide it. The right person will get it.",0.0,0,Elena
71,133663.0,I would lick from that asshole to your clit then suck on it,0.0,0,Elena
72,133666.0,A black person Acting scared of harmless Animals Just because..... What's new Dramatics are their specialty,0.0,0,Elena
73,133671.0,@user bitch been on there for ah mintue cdfuuuu,0.0,0,Elena
0,33390.0,#whitepower...I'll hang you nigger,1.0,1,
1,33414.0,"STOP SUCKING THAT FATASS' DICK, YOU NIGGERLOVING KIKE",1.0,1,
2,33434.0,"Those fucker give true muslims a bad name, killing innocents aint in islam",0.0,0,
3,33499.0,Learn the fucking language you fucking useless immigrant.,1.0,1,
4,33513.0,"Yea, even white suburban people here hate his shit. Get a better platform other than ""brown people bad""",0.0,0,
5,33543.0,"The only reasonable thing to do now is to kill someone and rape their corpse. Right, fags?",1.0,1,
6,33552.0,Its not their race its cuz theyre rich you dumbfuck,0.0,0,
7,33554.0,All you hindus should go back to paki you fucking indian go back to mexico!,1.0,1,
8,33564.0,"My kids are white, and I'm voting for the guy who isn't attempting to permanently cast them as tax cows devoid of political power. URL",0.0,0,
9,33599.0,"They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country",1.0,1,
10,33633.0,Fucking fagot burn in hell,1.0,1,
11,33653.0,"yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them",1.0,1,
12,33675.0,Your gf is a whore I bet,1.0,0,
13,33691.0,"Yes, in barbaric, authoritarian cultures that have since been condemned. Interesting that Christians desire to perpetuate the same idea.",0.0,0,
14,33682.0,"It's funny because the UK has allowed foreign powers to flood their once great country with inbred, low-IQ savages.",1.0,1,
15,33694.0,Somebody find me this fucking pussy ass bitch URL,1.0,0,
16,33699.0,Looks like a nigger with their typical retarded haircuts,1.0,1,
17,33709.0,"She's not Gypsy, she's Aromanian / Vlach",0.0,0,
18,33740.0,"Calling your girl a ""bitch"" is so ugly",0.0,0,
19,33759.0,I'm always amazed at these people who consider themselves religious yet do dumb ass shit like this.,1.0,0,
20,33761.0,Nothing. Religion is an evil and all religious people should be killed for the greater good.,0.0,1,
21,33771.0,"If god was real and all powerful, he wouldn't let people use religion, or his name to do the horrible things the church has been responsible for over the centuries. If god is real, he's a fucking cunt.",0.0,0,
22,33772.0,rust in peace there was no Jesus. The romans made up the Jesus story to divide and control people.,0.0,0,
23,33874.0,"Or, they need a man so bad they undergo parthenogenesis and create one.",0.0,0,
24,33860.0,"Congrats! That's great you're with someone you can be open about your sexuality with, this will only make your relationship stronger",0.0,0,
25,33863.0,gay people should die,0.0,1,
26,36301.0,A black person Acting scared of harmless Animals Just because..... What's new Dramatics are their specialty,0.0,0,
27,36304.0,trump is the only jews true friend. I hope trump will be the next US president and help Israel to kill all Palestinian fucking muslim. we will kill all muslim in the world.,0.0,1,
28,36361.0,He is a white male. He is always wrong and he got Lucky she just stole his bike. He should be dead!,0.0,0,
29,36364.0,"GET RID OF THOSE FUCKING MUSLIMS! the nasty ones that won't assimilate, rape women, beat children, threaten democracy, plan terror attacks, assault innocent secular people and force their disgusting religion on everyone else by way of violence. Assimilate OR GET THE FUCK OUT OR BE PREPARED TO DIE!",1.0,1,
30,36382.0,All Of These Repugnant Muslim Paedophile Rapists Share These Things In Common. Everyone Of Their Victims Was A British White Underaged Girl That They Raped. Not One Of Their Victims Was Muslim. URL,0.0,0,
31,36408.0,"If the Yankees can't beat the Red Sox, they don't even deserve to be in the playoffs #yankees #redsox #mlb",0.0,0,
32,36414.0,"Please help support nonbinary pride, add a #Twibbon now! URL",0.0,0,
33,36418.0,Imagine the cream of Brexiter strategists leading one side in a civil war. I quite fancy our chances. URL,0.0,0,
34,36419.0,"It's just really pointless and insulting to people who actually experience racism by implying our society is in need of a reminder that being a white person is okay. Because I doubt one genuine look at history would leave anyone wondering if ""being white"" in the U.S. will be perceived as a problem.  The very concept of on a personal level being okay with the fact you were born with the skin color you were born with is of course not racist. But the statement just makes it seem like white people are at risk to become some sort of outcasts.",0.0,0,
35,36465.0,This is white folks business. Black folks stay out of it.,0.0,0,
36,36467.0,Why did she emasculate dude in the first few seconds of the segment?,0.0,0,
37,36612.0,Stupid Asian Bitch You're an idiot and you should go back to ching chong land,1.0,1,
38,36637.0,Don't leave ur house alone u Jewish Christian homosexual boy lover ur dead man walking slut,0.0,1,
39,36822.0,do you have autism or something? why do you talk like a disgusting retard?,1.0,1,
40,37009.0,Those minority women should be deported there not wanted here there trash,0.0,1,
41,37056.0,Black people cant take jokes #bigfacts Here come the I'm racist and downvotes proving this sentiment,0.0,0,
42,37134.0,Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.,1.0,1,
43,37139.0,"The levels of brainwashing you've been subjected to to actually believe what you're saying is unprecedented. Riddle me this, why is Africa the shittiest continent on this planet when it is nothing but black people?",0.0,1,
44,37276.0,ayo i even kill handicapped and crippled bitches/look at my scalp real close and you'll see triple sixes,1.0,1,
45,37291.0,That's no excuse for stealing other people's technology and research and intellectual property You're all a bunch of human cockroaches is what you are And your food is disgusting on top of that you assholes will eat anything to the point where you'll make any creature go extinct because of your fucking appetites You chinks are determined to eat every Pangolin until they are all wiped off the earth,1.0,1,
46,37310.0,I wish therapy wasnt so taboo in the black community... we really need to take advantage of it.,0.0,0,
47,37512.0,"Women stay bragging about their mans penis and wonder why your friend fucked him....smh ....silly, silly hoe.",0.0,0,
48,37513.0,"RT @user Women vocalists in rocks music... thoughts? Me personally prefer men singers, seem to have more passion #NotSexist",1.0,0,
49,37517.0,"JEW Get the fuck out of here you jewish son of a bitch, I'll rape your fucking family if you don't leave you semite bastard. I will shoot you if you return, because you're a dirty semite, I hope you choke on a fucking bagel, prick. Shalom. We Came In?",1.0,1,
50,37547.0,"Your 12. When your balls drop and and I climb off your mother, then you can tell me what to do fucktard.",0.0,0,
51,37553.0,I refuse to raise a child in this bitch ass country.,0.0,0,
52,37784.0,"Hey ,muslim dickhead !!!!!!!! Why don;t you go and shove Allah or whatever the fuck you call the retard up your stupid backwards ass !!!!!!!!! You fucking muslims are a bunch of jealous west hating mongs, Islam is a peaceful religion, BULLSHIT !!!!!!! There are many times when it refers to violence. So go strap on your suicide bomb and blow yourself up. yey, one less feeble minded prick ion the world.",1.0,1,
53,37928.0,">Now that we've stolen their country, I expect them to do nothing and just sit there while we slowly genocide them",0.0,0,
54,39732.0,"He should definitely be deported but I dunno why people are blaming 'lefties' or whatever, I bet if he was poor and black or something he'd be deported. His family probably has money",0.0,0,
55,40117.0,Do you really believe people evolved from apes? &#8212; Not really. I'm quiet convinced with the evolution of man but ... http://t.co/1RswGNpLtc,0.0,0,
56,40118.0,the jews are done with the usa. you are too weak now to be usefull,0.0,0,
57,40245.0,soon ireland too would be run over by those niggers.,1.0,1,
58,40316.0,Gays and trannys aren't the same. LGBTP+ is the worst thing to happen for gay representation. Makes all homosexuals look like degenerate pedos. I don't like being associaseted with pedos and trannys.,1.0,1,
59,40385.0,Fill that little shitter with mass amounts of cum,1.0,1,
60,40452.0,Asian White Nationalist shut your fucking filthy tobacco chewin beer drinkin dorito eatin mountain dew slurpin smelly fucking gingivitis infested fat fucking droopy shitty mouth you socialstic fat fucking dumb fuck,1.0,1,
61,40797.0,Hey if they didnt want to be raped they shouldnt have had their parents bring them to the border to legally claim asylum.,1.0,1,
62,40801.0,"Thats funny, you sure love Saudi Arabia, the makers of 9/11. Plus, your own war machine is pretty much the biggest terrorist organization in the world. You're about to start another pointless war to steal more oil from the Middle East. You deserve to be nuked.",0.0,0,
63,40960.0,"RT @user: So now Thor is a women, captain America is now black, and iron man is now superior silver... #wheredidmychildhoodgo ? #â€¦",1.0,0,
64,41840.0,Hahaha! Black people should never eat chicken in public! LMFAO! #thafamily,1.0,0,
65,41911.0,Get the fuck out stupid bitch,1.0,0,
66,41931.0,"I'm not anti Semitic, but i want all jews to burn in a oven",0.0,1,
67,42106.0,"If you don't like the fascistic horrors of Islam then your a white supremacist fascist! Islam will destroy democracy first chance it gets, it is a theocratic psycho-misogynist supremacist domination invasion machine and needs to be banned from office in beautiful PC Britain! ðŸ˜³ URL",1.0,1,
68,42206.0,Wow youre such a fragile nigger,1.0,1,
69,42338.0,kill all the men,0.0,1,
70,42372.0,Killing all the Jews for sure,0.0,1,
71,42456.0,"Fuck you Ilhan, we already know you work for ISIS by making our country into your muslim shithole.",0.0,1,
72,42490.0,They do not all like Americans because they are taking sides and they feel are stealing their oil.,0.0,0,
73,42543.0,Haha you're a retarded faggot aren't ya?,1.0,1,
74,42639.0,RT @user: Wat type of bitch ass nigga rape a innocent female,0.0,0,
75,57834.0,Curry deserves to have his little bitch ass skull caved in for all of those faggoty facial expressions he makes. Little punk queer,1.0,1,
76,57911.0,"PM me you worthless slut. You need to spread it open, and pou t that sweet pussy and fill it up with my cum and make you the worthless cumdumpster you are",1.0,1,
77,58007.0,Child molesting Jew fuck needs to be hung in public,1.0,1,
78,58057.0,Why Working Women Need to Mentor Other Women URL,0.0,0,
79,58078.0,"Yo shut the fuck up and take your racist views on dagestani people out of this thread. Your lack of empathy and understanding is ""deplorable"". Dingus. Lol get out of your mommas basement",0.0,0,
80,58809.0,"Okay. Killing and caging ""brown kids"" is wrong. It was wrong then and it's wrong now. It is always wrong.",0.0,0,
81,58886.0,this teen is too immature to even have a phone......shame on the parents,0.0,0,
82,59150.0,Says the unemployed basement dweller who spends his time obsessing over why women won't fuck him because of how small he thinks his wrist/ankles/penis are.,1.0,0,
83,64450.0,What an odd place for an asterisk. @user I'm not sexist but *most girls are fucking stupid.,1.0,1,
84,64500.0,Fuck white people and fuck the cops. And if you feel some type of way about it eat a dick!,0.0,1,
85,64191.0,I'm Indian and I'm so proud of them representing my culture with respect.,0.0,0,
86,63987.0,White men were born to eat BBC cum out of your butt!!!!,0.0,1,
87,63892.0,She's never gonna get out of that third world shithole country acting like the bottom queen miss Priscilla queen of the desert. If she had half a brain she would realise that her country's #1 export is rough trade hung str8 Dom off-white notUite ethnic alpha tops and sh'ed act like one. She's even got the build beard and chest hair to pull it off. Sigh. Sis is a lost cause,0.0,1,
88,63860.0,All white men are disgusting evil rapists who should be imprisoned and fed their own shit.,0.0,1,
89,60545.0,How about just GTFO and nuke Saudi Arabia?,1.0,1,
90,60232.0,"Fuck that, I hope all you fuck niggas dieðŸ˜´",1.0,1,
91,59908.0,Yeah! Give those homophobes a new language to learn!,1.0,0,
92,59775.0,@user You should be able to save from here...right click or hold down on them and you should get a save option.,1.0,0,
93,59687.0,"@user bashir You are a everyday fucked American PIG , American Concentration camps, Americans are fucked stupid PIG PEOPLE inbred white trash",1.0,1,
94,59339.0,This Islamic plague has to be eradicated ! URL,1.0,1,
95,59052.0,@user It's fair if the religion itself is extremist and if most of it's followers subscribe to what the religion invokes.,1.0,0,
96,33563.0,31 Black Women Who Died In Police Custody URL,0.0,0,
97,63813.0,Baby thee niggas come a dime a dozen,1.0,1,
98,60761.0,Because European men are a bunch of soyboy faggots lol,1.0,1,
99,64346.0,Normally a bad diet and lack of exercise URL,0.0,0,
0,20009.0,i hate jews so much i wish the holocaust actually happened,1.0,1,swa
1,20014.0,Trans rights are human rights,0.0,0,swa
2,20015.0,"Not just Pakistani, but any Muslim athletes really, like Mo Salah (Egyptian and Intl. Soccer player)",0.0,0,swa
3,20024.0,gay people should die,1.0,1,swa
4,20037.0,Pause in horror as you realize the harsh reality of that statement.,0.0,0,swa
5,20049.0,"We at @user believe it is important to celebrate diversity and accept people for who they are, which is why we are in support of Gender Affirmation Benefits. #LGBTQ #Diversity URL",0.0,0,swa
6,20051.0,"I need to just switch to an organization-based github, but I don't want to pay $25/month because I'm cheap. :\",0.0,0,swa
