kernel,degree,C,gamma,class_weight,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
linear,3,0.01,0.01,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,3,0.01,0.01,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,3,0.01,0.1,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,3,0.01,0.1,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,3,0.01,1.0,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,3,0.01,1.0,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,4,0.01,0.01,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,4,0.01,0.01,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,4,0.01,0.1,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,4,0.01,0.1,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,4,0.01,1.0,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,4,0.01,1.0,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,5,0.01,0.01,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,5,0.01,0.01,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,5,0.01,0.1,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,5,0.01,0.1,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,5,0.01,1.0,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,5,0.01,1.0,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,3,0.01,0.01,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,3,0.01,0.01,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,3,0.01,0.1,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,3,0.01,0.1,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,3,0.01,1.0,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,3,0.01,1.0,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,4,0.01,0.01,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,4,0.01,0.01,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,4,0.01,0.1,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,4,0.01,0.1,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,4,0.01,1.0,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,4,0.01,1.0,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,5,0.01,0.01,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,5,0.01,0.01,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,5,0.01,0.1,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,5,0.01,0.1,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,5,0.01,1.0,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,5,0.01,1.0,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,3,0.1,0.01,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,3,0.1,0.01,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,3,0.1,0.1,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,3,0.1,0.1,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,3,0.1,1.0,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,3,0.1,1.0,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,4,0.1,0.01,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,4,0.1,0.01,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,4,0.1,0.1,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,4,0.1,0.1,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,4,0.1,1.0,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,4,0.1,1.0,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,5,0.1,0.01,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,5,0.1,0.01,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,5,0.1,0.1,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,5,0.1,0.1,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,5,0.1,1.0,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,5,0.1,1.0,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,3,0.1,0.01,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,3,0.1,0.01,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,3,0.1,0.1,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,3,0.1,0.1,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,3,0.1,1.0,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,3,0.1,1.0,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,4,0.1,0.01,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,4,0.1,0.01,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,4,0.1,0.1,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,4,0.1,0.1,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,4,0.1,1.0,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,4,0.1,1.0,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,5,0.1,0.01,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,5,0.1,0.01,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,5,0.1,0.1,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,5,0.1,0.1,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,5,0.1,1.0,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,5,0.1,1.0,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,3,1.0,0.01,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,3,1.0,0.01,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,3,1.0,0.1,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,3,1.0,0.1,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,3,1.0,1.0,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,3,1.0,1.0,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,4,1.0,0.01,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,4,1.0,0.01,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,4,1.0,0.1,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,4,1.0,0.1,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,4,1.0,1.0,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,4,1.0,1.0,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,5,1.0,0.01,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,5,1.0,0.01,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,5,1.0,0.1,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,5,1.0,0.1,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,5,1.0,1.0,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,5,1.0,1.0,"{0: 1, 1: 1}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,3,1.0,0.01,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,3,1.0,0.01,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,3,1.0,0.1,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,3,1.0,0.1,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,3,1.0,1.0,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,3,1.0,1.0,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,4,1.0,0.01,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,4,1.0,0.01,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,4,1.0,0.1,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,4,1.0,0.1,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,4,1.0,1.0,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,4,1.0,1.0,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,5,1.0,0.01,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,5,1.0,0.01,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,5,1.0,0.1,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,5,1.0,0.1,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
linear,5,1.0,1.0,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
sigmoid,5,1.0,1.0,"{0: 1, 1: 3}",0.9815284317276349,0.8718553459119497,0.8511128165771297,0.8613592233009708,0.9554509235784137,0.6078799249530957,0.6694214876033058,0.6371681415929205
